text,url,description,parent_section,link_type,page_title
Locate,"https://www.google.co.in/maps/place/Regional+Institute+Of+Education/@23.2402191,77.3835868,17z/data=!3m1!4b1!4m5!3m4!1s0x397c42ae23235973:0xc30a338e6f29c4b1!8m2!3d23.2402142!4d77.3857755",,,external,NCERT
Visit Site,http://www.riebbs.ac.in/,,,external,NCERT
Locate,"https://www.google.co.in/maps/place/Regional+Institute+Of+Education/@20.290431,85.8319133,17z/data=!3m1!4b1!4m5!3m4!1s0x3a1909e4332fc691:0x7e47e7a7fff0097a!8m2!3d20.290426!4d85.834102",,,external,NCERT
Visit Site,http://www.riemysore.ac.in/,,,external,NCERT
Locate,"https://www.google.co.in/maps/place/Regional+Institute+of+Education+Mysore/@12.3085056,76.6126261,17z/data=!3m1!4b1!4m5!3m4!1s0x3baf7ac056026c57:0xe5cc3c894372dadd!8m2!3d12.3085004!4d76.6148148",,,external,NCERT
Visit Site,http://nerie.nic.in/,,,external,NCERT
Locate,"https://www.google.co.in/maps/place/NERIE+NCERT+Umiam+Ribhoi+Dist/@25.6723914,91.9110793,17z/data=!3m1!4b1!4m5!3m4!1s0x375a821f137c1583:0xe67fb37f129ed8f2!8m2!3d25.6723914!4d91.913268",,,external,NCERT
Textbook,https://ncert.nic.in/textbooks.php,,,internal,NCERT
Learning Outcomes,https://ncert.nic.in/learning-outcome.php,,,internal,NCERT
eResources,https://ncert.nic.in/eresources.php,,,internal,NCERT
ICT Initiative,https://ncert.nic.in/ict-initiatives.php,,,internal,NCERT
NEP and NCFs,https://ncert.nic.in/policy-framework.php,Educational Policies and NCFs,,internal,NCERT
Journals,https://ncert.nic.in/journals-and-periodicals.php,,,internal,NCERT
Library,https://ncert.nic.in/ldd/index.php,,,internal,NCERT
Accessibility,https://ncert.nic.in/accessibility.php,,,internal,NCERT
Educational Survey,https://ncert.nic.in/educational-survey.php,,,internal,NCERT
NTSE,https://ncert.nic.in/national-talent-examination.php,National Talent Search Examination,,internal,NCERT
Events,https://ncert.nic.in/seminar.php,,,internal,NCERT
MoUs and Partnerships,https://ncert.nic.in/mou.php,,,internal,NCERT
National Curriculum Framework for Foundational Stage 2022 - English ( PDF,https://ncert.nic.in/pdf/focus-group/NCF-FS_2022EN.pdf,,,internal,NCERT
Flipbook,https://ncert.nic.in/flipbook/NCF/NCF-FS_2022EN,,,internal,NCERT
"Access the National Curriculum Framework School Education (NCFSE) - 2023 (August, 2023) - PDF",https://ncert.nic.in/pdf/NCFSE-2023-August_2023.pdf,,,internal,NCERT
Flipbook,https://ncert.nic.in/flipbook/NCF/NCFSE2023,,,internal,NCERT
Samvidhan Diwas Video,https://www.youtube.com/watch?v=fu7fOxQDUWA,,,external,NCERT
Indian Language Primers,https://ncert.nic.in/primers.php,,,internal,NCERT
Exhibits selected for participation in 51st RBVP-2024,https://ncert.nic.in/desm/pdf/Exhibits_selected_for_participation_in_51st_RBVP_2024.pdf,,,internal,NCERT
List of Projects Shortlisted under PRAYAAS 2024,https://ncert.nic.in/desm/pdf/PARYAAS_ENTRIES_2024.pdf,,,internal,NCERT
Online Diploma in Teaching of Science at Middle Stage,https://ncert.nic.in/desm/pdf/NCERTX_FAQ_2024-25.pdf,,,internal,NCERT
NCERT Bookstore is now available on Amazon,https://www.amazon.in/ncert,,,external,NCERT
Middle Stage,https://ncert.nic.in/pdf/publication/otherpublications/Navchetana_Middle_Stage_English_Final.pdf,,,internal,NCERT
Secondary Stage,https://ncert.nic.in/pdf/publication/otherpublications/Navchetna_Secondary_Stage_English_Final.pdf,,,internal,NCERT
